filename,date,corrected_flux,chlorophyll_mean
AQUA_MODIS.20220601.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-01,6378,0.2970226337989147
AQUA_MODIS.20220602.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-02,6404,0.7090857541720459
AQUA_MODIS.20220603.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-03,6421,0.3775833522886338
AQUA_MODIS.20220604.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-04,6424,0.40575655705943137
AQUA_MODIS.20220605.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-05,6459,0.36598634719848633
AQUA_MODIS.20220606.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-06,6435,0.3958970790068561
AQUA_MODIS.20220607.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-07,6420,0.640430777097129
AQUA_MODIS.20220608.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-08,6475,0.45714965922414563
AQUA_MODIS.20220609.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-09,6517,0.536144893532749
AQUA_MODIS.20220610.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-10,6572,0.5809212789316948
AQUA_MODIS.20220611.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-11,6536,0.5843943151365837
AQUA_MODIS.20220612.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-12,6517,0.9238462519824953
AQUA_MODIS.20220613.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-13,6515,1.435461935735558
AQUA_MODIS.20220614.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-14,6506,1.196456525221342
AQUA_MODIS.20220615.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-15,6392,0.5281434273006053
AQUA_MODIS.20220616.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-16,6305,0.368319121908085
AQUA_MODIS.20220617.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-17,6306,0.550966324006085
AQUA_MODIS.20220618.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-18,6268,1.803334225890457
AQUA_MODIS.20220619.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-19,6261,0.49686999198717946
AQUA_MODIS.20220620.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-20,6291,0.32299827183756624
AQUA_MODIS.20220621.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-21,6363,0.7053156719608927
AQUA_MODIS.20220622.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-22,6389,0.7832601162890491
AQUA_MODIS.20220623.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-23,6396,0.4502086880004792
AQUA_MODIS.20220624.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-24,6391,0.32109008745041473
AQUA_MODIS.20220625.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-25,6397,0.27770451352632447
AQUA_MODIS.20220626.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-26,6339,0.640018003435518
AQUA_MODIS.20220627.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-27,6318,0.864229531155532
AQUA_MODIS.20220628.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-28,6335,1.0566727120535715
AQUA_MODIS.20220629.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-29,6362,0.3906219805156614
AQUA_MODIS.20220630.L3m.DAY.CHL.chlor_a.4km.nc,2022-06-30,6378,1.1358872889433551
AQUA_MODIS.20220701.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-01,6395,0.36632911743648405
AQUA_MODIS.20220702.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-02,6406,0.23759573414839433
AQUA_MODIS.20220703.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-03,6399,0.8174992143596569
AQUA_MODIS.20220704.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-04,6451,0.5690828324961129
AQUA_MODIS.20220705.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-05,6487,0.9601686844914596
AQUA_MODIS.20220706.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-06,6526,0.614382955520595
AQUA_MODIS.20220707.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-07,6488,0.3969390869140625
AQUA_MODIS.20220708.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-08,6499,0.448279670364976
AQUA_MODIS.20220709.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-09,6521,0.28146086021662003
AQUA_MODIS.20220710.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-10,6491,0.5283885073213707
AQUA_MODIS.20220711.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-11,6438,0.30955781412141126
AQUA_MODIS.20220712.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-12,6320,0.4914325542974403
AQUA_MODIS.20220713.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-13,6252,0.4245196361204329
AQUA_MODIS.20220714.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-14,6273,1.031833253193158
AQUA_MODIS.20220715.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-15,6304,0.654853519904415
AQUA_MODIS.20220716.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-16,6350,0.46592996255799674
AQUA_MODIS.20220717.L3m.DAY.CHL.chlor_a.4km.nc,2022-07-17,6394,0.3392964477217317
