region,lag_max_response,max_chl_anomaly,p_value_at_max,lag_most_significant,p_value_min,chl_anomaly_at_min_p
Ceduna,2,0.4408929916782206,0.08366061925196615,90,0.05407977283576959,0.20856286149383302
GAB,77,0.33764577701998255,0.3164930360836485,45,0.09356025056336413,0.1565170904421913
KI - E,42,0.3050146269833758,0.08290393743285362,2,0.018878952534453517,0.26010675588909654
KI - W,90,0.18819399520843516,0.12694291126260293,55,0.032579467906589284,0.09644297751753284
Mt Gambier,81,0.11411104095944513,0.19352442275081067,89,0.052772253075746074,-0.03359753081486341
Port Fairy,2,0.3262437262454954,0.010705562853205609,83,0.005973626863721368,0.29077429191224163
Port Lincoln,53,0.3941140215666521,0.08749720048942318,34,0.06295981227187643,0.226158487437559
SVG - NE,83,1.6965018696255156,0.14570787733797375,83,0.14570787733797375,1.6965018696255156
SVG - NW,3,1.6920836231287788,0.18099260476901297,57,0.06283172148202598,-0.2895434847142961
SVG - SE,66,0.6538867341044048,0.3699193398270204,86,0.08157362967625517,0.26116496963633434
SVG - SW,3,0.4748161122244613,0.14862767944928795,77,0.1010973262309163,0.2768087829463184
Spencer Gulf N,75,0.10036794283382953,0.4535146844656217,34,0.010878756427086049,-0.24039179280932454
Spencer Gulf S,45,0.15575389163568618,0.07637969413284004,59,0.04636137981252078,0.13126635838832174
Victor Harbor,30,0.42739264436212243,0.019177539266957592,51,0.012266804713568658,0.3173937568485382
Victor Harbour-Mt Gambier,81,0.2598438566705833,0.16829613294868523,24,0.007837248220424035,0.11839446945517672
