date,deviation_pct,intensity,baseline,magnitude,duration_days,count_rate_decrease
2017-09-08,-4.359171143514966,6231,6515.0,4.359171143514966,2,284.0
2021-11-04,-6.044284859365649,6280,6684.0,6.044284859365649,2,404.0
2022-12-27,-3.1159653067780275,6032,6226.0,3.1159653067780275,1,194.0
2023-02-28,-3.991423387761834,5821,6063.0,3.991423387761834,1,242.0
2023-03-23,-3.384513785702493,5852,6057.0,3.384513785702493,1,205.0
2023-04-24,-3.7428803905614325,5915,6145.0,3.7428803905614325,1,230.0
2023-05-10,-5.093877551020408,5813,6125.0,5.093877551020408,4,312.0
2023-09-19,-3.435500168406871,5734,5938.0,3.435500168406871,3,204.0
2023-12-02,-3.242784380305603,5699,5890.0,3.242784380305603,1,191.0
2024-03-25,-4.47962276860896,5672,5938.0,4.47962276860896,1,266.0
2024-05-11,-6.053772766695577,5416,5765.0,6.053772766695577,2,349.0
2024-10-07,-10.195801728699946,5091,5669.0,10.195801728699946,6,578.0
2024-10-29,-6.4212024190679475,5261,5622.0,6.4212024190679475,6,361.0
2024-11-30,-3.553835327234342,5482,5684.0,3.553835327234342,2,202.0
2025-02-03,-3.152060962937305,5592,5774.0,3.152060962937305,1,182.0
2025-06-01,-13.581541688515994,4944,5721.0,13.581541688515994,7,777.0
2025-09-02,-4.651162790697675,5453,5719.0,4.651162790697675,4,266.0
2025-11-07,-8.90658942795076,5032,5579.0,8.90658942795076,9,547.0
