Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2017-01-01T00:00:00Z,2017.0000000,6814,6629,996.07
2017-01-02T00:00:00Z,2017.0027397,6473,6647,1003.35
2017-01-03T00:00:00Z,2017.0054795,6500,6664,1003.14
2017-01-04T00:00:00Z,2017.0082192,5895,6641,1015.97
2017-01-05T00:00:00Z,2017.0109589,5352,6626,1028.63
2017-01-06T00:00:00Z,2017.0136986,5487,6566,1024.14
2017-01-07T00:00:00Z,2017.0164384,6285,6584,1006.07
2017-01-08T00:00:00Z,2017.0191781,6324,6563,1004.90
2017-01-09T00:00:00Z,2017.0219178,6551,6585,1000.46
2017-01-10T00:00:00Z,2017.0246575,6654,6572,998.09
2017-01-11T00:00:00Z,2017.0273973,7213,6633,988.47
2017-01-12T00:00:00Z,2017.0301370,7547,6682,983.30
2017-01-13T00:00:00Z,2017.0328767,7496,6670,983.99
2017-01-14T00:00:00Z,2017.0356164,7110,6660,990.97
2017-01-15T00:00:00Z,2017.0383562,6465,6644,1003.51
2017-01-16T00:00:00Z,2017.0410959,5783,6633,1018.32
2017-01-17T00:00:00Z,2017.0438356,5777,6563,1017.02
2017-01-18T00:00:00Z,2017.0465753,6160,6597,1009.16
2017-01-19T00:00:00Z,2017.0493151,6656,6614,998.96
2017-01-20T00:00:00Z,2017.0520548,6323,6599,1005.53
2017-01-21T00:00:00Z,2017.0547945,5994,6598,1012.77
2017-01-22T00:00:00Z,2017.0575342,6198,6602,1008.31
2017-01-23T00:00:00Z,2017.0602740,6569,6620,1000.85
2017-01-24T00:00:00Z,2017.0630137,5760,6642,1019.05
2017-01-25T00:00:00Z,2017.0657534,6063,6626,1011.90
2017-01-26T00:00:00Z,2017.0684932,6282,6594,1006.36
2017-01-27T00:00:00Z,2017.0712329,5981,6579,1012.63
2017-01-28T00:00:00Z,2017.0739726,6058,6625,1011.86
2017-01-29T00:00:00Z,2017.0767123,6198,6621,1008.76
2017-01-30T00:00:00Z,2017.0794521,6572,6661,1001.63
2017-01-31T00:00:00Z,2017.0821918,5951,6644,1014.64
2017-02-01T00:00:00Z,2017.0849315,5682,6626,1020.54
2017-02-02T00:00:00Z,2017.0876712,6023,6608,1012.32
2017-02-03T00:00:00Z,2017.0904110,6117,6567,1009.34
2017-02-04T00:00:00Z,2017.0931507,5892,6569,1014.46
2017-02-05T00:00:00Z,2017.0958904,5401,6571,1026.32
2017-02-06T00:00:00Z,2017.0986301,4920,6585,1039.15
2017-02-07T00:00:00Z,2017.1013699,4780,6604,1043.43
2017-02-08T00:00:00Z,2017.1041096,4773,6642,1044.39
2017-02-09T00:00:00Z,2017.1068493,4652,6608,1047.19
2017-02-10T00:00:00Z,2017.1095890,4725,6596,1044.86
2017-02-11T00:00:00Z,2017.1123288,5059,6624,1036.18
2017-02-12T00:00:00Z,2017.1150685,5562,6627,1023.66
2017-02-13T00:00:00Z,2017.1178082,6033,6604,1011.99
2017-02-14T00:00:00Z,2017.1205479,5508,6617,1024.60
2017-02-15T00:00:00Z,2017.1232877,5521,6627,1024.53
2017-02-16T00:00:00Z,2017.1260274,6251,6651,1008.22
2017-02-17T00:00:00Z,2017.1287671,6795,6643,996.71
2017-02-18T00:00:00Z,2017.1315068,6792,6648,996.88
2017-02-19T00:00:00Z,2017.1342466,7262,6663,988.18
2017-02-20T00:00:00Z,2017.1369863,7407,6668,985.55
2017-02-21T00:00:00Z,2017.1397260,7247,6697,989.13
2017-02-22T00:00:00Z,2017.1424658,7512,6694,984.26
2017-02-23T00:00:00Z,2017.1452055,8145,6694,973.24
2017-02-24T00:00:00Z,2017.1479452,7732,6656,979.57
2017-02-25T00:00:00Z,2017.1506849,7217,6657,988.84
2017-02-26T00:00:00Z,2017.1534247,6915,6670,994.89
2017-02-27T00:00:00Z,2017.1561644,6675,6689,1000.03
2017-02-28T00:00:00Z,2017.1589041,6979,6692,994.09
2017-03-01T00:00:00Z,2017.1616438,7309,6660,987.24
2017-03-02T00:00:00Z,2017.1643836,7121,6599,989.48
2017-03-03T00:00:00Z,2017.1671233,6808,6611,995.80
2017-03-04T00:00:00Z,2017.1698630,6350,6625,1005.51
2017-03-05T00:00:00Z,2017.1726027,5924,6627,1014.94
2017-03-06T00:00:00Z,2017.1753425,5532,6627,1024.19
2017-03-07T00:00:00Z,2017.1780822,5366,6627,1028.28
2017-03-08T00:00:00Z,2017.1808219,6017,6633,1013.00
2017-03-09T00:00:00Z,2017.1835616,6249,6615,1007.45
