date,Ceduna-Port Lincoln,Spencer Gulf N,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,Victor Harbor,Victor Harbour-Mt Gambier,Mt Gambier-Port Fairy
20180104,,,,,,,,,,
20180105,19.57149314880371,22.2050838470459,20.032257080078125,21.91750144958496,22.069246292114258,20.238027572631836,20.676990509033203,18.969152450561523,17.762630462646484,17.691631317138672
20180106,,24.244844436645508,22.931730270385742,23.84175682067871,23.832162857055664,22.344308853149414,22.56877899169922,20.849149703979492,19.326128005981445,18.853172302246094
20180107,18.682300567626953,,,,,,,,,19.04483985900879
20180108,18.061622619628906,,19.980005264282227,,,,,,,18.35268211364746
20180109,18.54340362548828,22.21541976928711,19.873300552368164,21.892637252807617,22.082109451293945,20.283594131469727,20.86357307434082,19.022001266479492,17.809524536132812,18.15035057067871
20180110,18.282560348510742,21.51444435119629,19.185123443603516,,,19.8271427154541,20.434703826904297,18.76491928100586,17.771419525146484,18.70334243774414
20180111,19.361839294433594,22.612470626831055,20.810232162475586,22.0159854888916,22.148733139038086,21.01133155822754,21.317541122436523,19.198551177978516,18.222238540649414,18.367605209350586
20180112,,,,,,,,,,
20180113,18.93950843811035,21.912446975708008,20.220788955688477,,,,,,,
20180114,18.82709312438965,21.935054779052734,20.208831787109375,21.86583137512207,,20.392858505249023,21.060100555419922,19.6368350982666,17.96861457824707,17.843351364135742
20180115,19.005983352661133,21.939401626586914,19.9244441986084,21.14647674560547,21.251758575439453,20.394176483154297,21.073652267456055,19.10761833190918,18.09378433227539,
20180116,19.535621643066406,22.236167907714844,20.30441665649414,21.499998092651367,21.583581924438477,20.65033721923828,21.150320053100586,19.118974685668945,17.785860061645508,18.04045295715332
20180117,,,,,,,21.769176483154297,19.726642608642578,18.417253494262695,18.08574676513672
20180118,20.53121566772461,,,,,,,,,19.2255859375
20180119,21.22937774658203,24.601375579833984,22.408384323120117,24.1446590423584,24.370452880859375,23.167055130004883,23.685041427612305,21.652578353881836,19.494140625,
20180120,19.362390518188477,24.414447784423828,21.704959869384766,,,22.085399627685547,22.837953567504883,20.564571380615234,19.174997329711914,
20180121,19.97084617614746,24.35172462463379,21.25229835510254,,,21.456220626831055,,19.778512954711914,18.220518112182617,17.839582443237305
20180122,,,,,,,,19.301218032836914,17.911746978759766,20.282733917236328
20180123,19.333511352539062,,,,,,,,19.13080596923828,18.926267623901367
20180124,19.375621795654297,22.824281692504883,20.64947509765625,22.42697525024414,22.663414001464844,20.760717391967773,21.650571823120117,19.498319625854492,,21.05734634399414
20180125,19.390689849853516,,20.424114227294922,,,21.242464065551758,21.867401123046875,19.717987060546875,18.3405704498291,18.162521362304688
20180126,,23.863771438598633,,,,20.05437469482422,,,17.622026443481445,19.083526611328125
20180127,,,,,,,,,,
20180128,,,,,,,,,,21.587169647216797
20180129,,,,,,,,,,25.057939529418945
20180130,,,,,,,,,18.996170043945312,
20180131,,,,,,,,,,18.94988441467285
20180201,,,,,,,,17.965965270996094,16.051883697509766,19.542213439941406
20180202,,,,,,,,,16.089704513549805,19.615028381347656
20180203,,,,,,,,,,
20180204,18.768875122070312,22.064868927001953,20.234514236450195,21.134807586669922,21.527664184570312,20.48499870300293,21.18248176574707,18.384647369384766,17.32939338684082,
20180205,19.215959548950195,22.820497512817383,21.41008186340332,22.235910415649414,22.734302520751953,21.46845054626465,22.17547607421875,18.278064727783203,17.053430557250977,18.062149047851562
20180206,19.93669319152832,23.337997436523438,20.571369171142578,,,21.182159423828125,21.56223487854004,19.31761932373047,17.163021087646484,18.780517578125
20180207,,,21.40357208251953,,,21.772123336791992,22.224777221679688,19.76546287536621,18.498779296875,19.54258918762207
20180208,21.43870735168457,,,,,,,19.421428680419922,,19.984933853149414
20180209,20.889999389648438,,,,,,,,,
20180210,,25.57806396484375,,24.522457122802734,24.904272079467773,,23.622652053833008,20.46929359436035,18.951061248779297,19.00731086730957
20180211,19.242658615112305,23.12122344970703,20.863815307617188,,,20.999298095703125,21.74622344970703,19.01834487915039,17.676944732666016,19.390962600708008
20180212,,,21.504772186279297,,,21.1490478515625,21.799190521240234,20.08748435974121,,
20180213,,,,,,,,19.874725341796875,18.172101974487305,19.25092887878418
20180214,19.437414169311523,22.879013061523438,20.950321197509766,,,,,,,20.232784271240234
20180215,19.01991081237793,23.190637588500977,21.24146270751953,,,21.170000076293945,21.685440063476562,19.474063873291016,16.187164306640625,19.020301818847656
20180216,18.91443634033203,22.940738677978516,20.282670974731445,22.521072387695312,,,,18.785816192626953,17.307937622070312,18.445161819458008
20180217,20.041431427001953,22.955074310302734,21.014429092407227,22.63395881652832,22.584028244018555,21.003007888793945,21.709569931030273,19.369783401489258,17.329378128051758,18.570405960083008
20180218,,,21.137182235717773,,,22.180185317993164,22.805767059326172,19.22846221923828,17.54049301147461,18.6247501373291
20180219,18.945981979370117,,,,,,,,18.694604873657227,17.8841609954834
20180220,18.8730411529541,,20.632415771484375,,21.81901741027832,20.983394622802734,21.542314529418945,18.587446212768555,17.42473030090332,21.22051239013672
20180221,,,,,,,,,,18.7182674407959
20180222,,,,,,,,,,
20180225,,,,,,,,,,
20180226,19.03251075744629,23.092941284179688,20.671279907226562,22.335790634155273,22.408998489379883,21.253049850463867,21.865087509155273,18.729711532592773,16.416606903076172,17.287567138671875
